,module_colors
bcl9_ChrAur1,turquoise
bcl9_ChrAur2,turquoise
bcl9l,grey
bco1,blue
bco2a,turquoise
bco2l,turquoise
bcor_ChrAur1,grey
bcorl1,turquoise
bcr,blue
bcs1l,blue
bdh1,blue
bdh2,blue
becn1,blue
bend3,blue
bend5,turquoise
bend7,turquoise
best1,turquoise
bet1,turquoise
bet1l,turquoise
bfsp1,blue
bfsp2,grey
bgnb,turquoise
bhlha15,grey
bhlhe40_ChrAur1,blue
bhlhe40_ChrAur2,blue
bhlhe41,turquoise
bhmt_ChrAur1,turquoise
bhmt_ChrAur2,turquoise
bhmt_ChrAur3,grey
bicc1b,blue
bicc2,turquoise
bicd1a,yellow
bicd2_ChrAur1,blue
bicd2_ChrAur2,turquoise
bicdl1,blue
bicdl2,turquoise
bicra,turquoise
bicral,blue
bida,green
bin2a,grey
bin2b,turquoise
bin3,blue
birc2,blue
birc5a,turquoise
birc5b,turquoise
birc6,turquoise
birc7,grey
blcap,grey
blk,blue
blm,turquoise
blmh,turquoise
blnk,blue
bloc1s1,grey
bloc1s2,turquoise
bloc1s3,turquoise
bloc1s4,turquoise
bloc1s5,turquoise
bloc1s6,yellow
bltp3b,grey
blvra,blue
blvrb,blue
