date,average_temperature
31/08/2021,12.21
1/09/2021,11.91
2/09/2021,12.16
3/09/2021,12.4
4/09/2021,12.68
5/09/2021,12.74
6/09/2021,12.71
7/09/2021,12.81
8/09/2021,12.69
9/09/2021,12.55
10/09/2021,12.56
11/09/2021,12.4
12/09/2021,12.5
13/09/2021,12.65
14/09/2021,12.61
15/09/2021,12.56
16/09/2021,12.53
17/09/2021,12.42
18/09/2021,12.38
19/09/2021,12.42
20/09/2021,12.77
21/09/2021,12.8
22/09/2021,12.9
23/09/2021,12.97
24/09/2021,13.2
25/09/2021,13.18
26/09/2021,13.47
27/09/2021,13.39
28/09/2021,13.15
29/09/2021,13.33
30/09/2021,13.6
1/10/2021,13.7
2/10/2021,13.9
3/10/2021,14.0
4/10/2021,14.08
5/10/2021,14.26
6/10/2021,14.03
7/10/2021,
8/10/2021,14.72
9/10/2021,14.89
10/10/2021,14.64
11/10/2021,14.88
12/10/2021,15.02
13/10/2021,14.38
14/10/2021,13.93
15/10/2021,14.46
16/10/2021,14.82
17/10/2021,14.59
18/10/2021,14.78
19/10/2021,14.97
20/10/2021,14.89
21/10/2021,14.81
22/10/2021,14.83
23/10/2021,14.98
24/10/2021,15.2
25/10/2021,15.8
26/10/2021,16.69
27/10/2021,16.93
28/10/2021,17.19
29/10/2021,17.34
30/10/2021,17.64
31/10/2021,17.7
1/11/2021,16.97
2/11/2021,16.76
3/11/2021,16.29
4/11/2021,15.45
5/11/2021,15.2
6/11/2021,15.59
7/11/2021,16.35
8/11/2021,17.18
9/11/2021,17.75
10/11/2021,18.17
11/11/2021,18.44
12/11/2021,18.21
13/11/2021,18.07
14/11/2021,18.19
15/11/2021,18.34
16/11/2021,18.05
17/11/2021,17.92
18/11/2021,17.79
19/11/2021,18.05
20/11/2021,18.23
21/11/2021,17.83
22/11/2021,17.69
23/11/2021,18.24
24/11/2021,18.85
25/11/2021,19.42
26/11/2021,19.66
27/11/2021,19.66
28/11/2021,19.12
29/11/2021,19.12
30/11/2021,19.4
1/12/2021,19.95
2/12/2021,19.42
3/12/2021,19.09
4/12/2021,18.82
5/12/2021,18.62
6/12/2021,18.53
7/12/2021,18.71
8/12/2021,19.12
9/12/2021,19.81
10/12/2021,20.27
11/12/2021,20.37
12/12/2021,19.66
13/12/2021,19.24
14/12/2021,19.36
15/12/2021,19.13
16/12/2021,19.31
17/12/2021,19.84
18/12/2021,19.33
19/12/2021,19.1
20/12/2021,19.34
21/12/2021,19.75
22/12/2021,20.08
23/12/2021,20.3
24/12/2021,20.73
25/12/2021,20.61
26/12/2021,20.38
27/12/2021,21.2
28/12/2021,21.18
29/12/2021,20.92
30/12/2021,20.97
31/12/2021,20.52
